id,name,taicol_taxon_id,is_valid,scientific_name,taxon_status,note,
474,山羌,t0096460,T,Muntiacus reevesi,accepted,ok,
475,,,F,,,ignored,
476,空拍,,F,,,no-match,
477,測試,,F,,,no-match,
478,獼猴,t0068195,T,,accepted,human,
479,水鹿,t0086217,T,Rusa unicolor swinhoii,accepted,ok,
480,鳥,,F,,,no-match,
481,鼬獾,t0027888,T,Melogale subaurantiaca,accepted,ok,
482,工作照,,F,,,no-match,
483,野山羊,t0099486,T,Capra aegagrus,accepted,ok,
484,鼠,,F,,,no-match,
485,野豬,t0099008,T,Sus scrofa,accepted,ok,
486,白鼻心,t0086045,T,Paguma larvata larvata,accepted,ok,
487,人,,F,,,ignored,
488,食蟹獴,t0085747,T,Urva urva formosana,accepted,ok,
489,狗,t0085383,T,Canis familiaris,accepted,ok,
490,老鼠,,F,,,no-match,
491,藍腹鷴,t0067882,T,Lophura swinhoii,accepted,ok,
492,松鼠,,F,,,no-match,
493,其他,,F,,,no-match,
494,無法辨識,,F,,,no-match,
495,麝香貓,t0086418,T,Viverricula indica pallida,accepted,ok,
496,錯誤空拍,,F,,,no-match,
497,no,,F,,,ignored,
498,貓,t0063825,T,Felis catus,accepted,ok,
499,無,,F,,,no-match,
500,赤腹松鼠,t0085369,T,Callosciurus erythraeus thaiwanensis,accepted,ok,
501,深山竹雞,t0057735,T,Arborophila crudigularis,accepted,ok,
502,金翼白眉,t0048060,T,Trochalopteron morrisonianum,accepted,ok,
503,野兔,,T,,,no-match,
504,猴子,t0068195,T,,accepted,human,
505,黃喉貂,t0085880,T,Martes flavigula chrysospila,accepted,ok,
506,穿山甲,,T,,,no-match,
507,臺灣獼猴,t0068195,T,Macaca cyclopis,accepted,ok,
508,台灣獼猴,t0068195,T,Macaca cyclopis,accepted,ok,
509,梅花鹿,t0085426,T,Cervus nippon taiouanus,accepted,ok,
510,不清楚,,F,,,no-match,
511,山豬,t0086310,T,Sus scrofa taivanus,accepted,ok,
512,台灣野豬,t0086310,T,Sus scrofa taivanus,accepted,ok,
513,刺鼠,t0081716,T,Niviventer coninga,accepted,ok,
514,竹雞,t0057884,T,Bambusicola sonorivox,accepted,ok,
515,翠翼鳩,t0030328,T,Chalcophaps indica indica,accepted,ok,
516,黑冠麻鷺,t0064796,T,Gorsachius melanolophus,accepted,ok,
517,找不到動物,,F,,,no-match,
518,黃鼠狼,t0085950,T,Mustela sibirica taivana,accepted,ok,
519,石虎,t0105762,T,Prionailurus bengalensis euptilurus,accepted,ok,
520,黑山羊,,F,,,no-match,
521,帝雉,t0046527,T,Syrmaticus mikado,accepted,ok,
522,家羊,t0085384,T,Capra hircus,accepted,ok,
523,獵人,,F,,,ignored,
524,試拍片,,F,,,no-match,
525,家貓,,F,,,no-match,
526,收相機,,F,,,no-match,
527,家犬,,F,,,no-match,
528,臺灣野山羊,t0077405,T,Capricornis swinhoei,accepted,ok,
529,紫嘯鶇,t0080787,T,Myophonus insularis,accepted,ok,
530,到點結束片,,F,,,no-match,
531,虎鶇,,F,,,no-match,
532,食蟹?,,F,,,no-match,
533,未知,,F,,,no-match,
534,白面鼯鼠,t0086085,T,Petaurista lena,accepted,ok,
535,不知名老鼠,,F,,,no-match,
536,時間錯誤,,F,,,no-match,
537,台灣野山羊,t0077405,T,Capricornis swinhoei,accepted,ok,
538,牛,,F,,,no-match,
539,研究人員自己,,F,,,ignored,
540,？,,F,,,ignored,
541,test,,F,,,ignored,
542,藪鳥,t0067566,T,Liocichla steerii,accepted,ok,
543,unknow,,F,,,ignored,
544,藍腹鷳,t0067882,T,Lophura swinhoii,accepted,human,鷴
545,鳥類,,F,,,no-match,
546,長吻松鼠,t0085590,T,Dremomys pernyi owstoni,accepted,ok,
547,星鴉,t0085982,T,Nucifraga caryocatactes owstoni,accepted,ok,
548,end,,F,,,ignored,
549,高山田鼠,t0069361,T,Alexandromys kikuchii,accepted,ok,
550,黑熊,,F,,,no-match,
551,栗背林鴝,t0046794,T,Tarsiger johnstoniae,accepted,ok,
552,飛鼠,,F,,,no-match,
553,寵物,,F,,,no-match,
554,不知名動物,,F,,,no-match,
